frame.number,frame.time_epoch,frame.time_relative,frame.time_delta,frame.len,frame.cap_len,eth.src,eth.dst,ip.src,ip.dst,ip.proto,tcp.srcport,tcp.dstport,tcp.flags,tcp.len,tcp.window_size_value,tcp.checksum,tcp.stream,tcp.analysis.initial_rtt,tcp.time_delta,mqtt_present,mqtt_ctrl_type,mqtt_ctrl_name,mqtt_flags,mqtt_remaining_len,mqtt_qos,mqtt_keepalive,mqtt_payload_size
89,1758447766.062147,21.97826600074768,3.2901763916015625e-05,88,88,,,127.0.0.1,127.0.0.1,6,1883,59666,24,44,255,52210,,,3.2901763916015625e-05,True,3.0,PUBLISH,0.0,42.0,0.0,,42.0
91,1758447766.062206,21.978325128555298,3.504753112792969e-05,86,86,,,127.0.0.1,127.0.0.1,6,1883,59666,24,42,255,27483,,,3.504753112792969e-05,True,3.0,PUBLISH,0.0,40.0,0.0,,40.0
93,1758447766.062265,21.978384017944336,3.600120544433594e-05,91,91,,,127.0.0.1,127.0.0.1,6,1883,59666,24,47,255,47985,,,3.600120544433594e-05,True,3.0,PUBLISH,0.0,45.0,0.0,,45.0
95,1758447766.062322,21.97844099998474,3.4809112548828125e-05,88,88,,,127.0.0.1,127.0.0.1,6,1883,59666,24,44,255,30946,,,3.4809112548828125e-05,True,3.0,PUBLISH,0.0,42.0,0.0,,42.0
97,1758447766.062378,21.97849702835083,3.3855438232421875e-05,87,87,,,127.0.0.1,127.0.0.1,6,1883,59666,24,43,255,62373,,,3.3855438232421875e-05,True,3.0,PUBLISH,0.0,41.0,0.0,,41.0
99,1758447766.062445,21.978564023971558,4.291534423828125e-05,88,88,,,127.0.0.1,127.0.0.1,6,1883,59666,24,44,255,52755,,,4.291534423828125e-05,True,3.0,PUBLISH,0.0,42.0,0.0,,42.0
101,1758447766.062535,21.978654146194458,5.412101745605469e-05,86,86,,,127.0.0.1,127.0.0.1,6,1883,59666,24,42,255,25724,,,5.412101745605469e-05,True,3.0,PUBLISH,0.0,40.0,0.0,,40.0
103,1758447766.062626,21.978744983673096,5.5789947509765625e-05,92,92,,,127.0.0.1,127.0.0.1,6,1883,59666,24,48,255,64550,,,5.5789947509765625e-05,True,3.0,PUBLISH,0.0,46.0,0.0,,46.0
105,1758447766.062724,21.978843212127686,6.103515625e-05,89,89,,,127.0.0.1,127.0.0.1,6,1883,59666,24,45,255,35772,,,6.103515625e-05,True,3.0,PUBLISH,0.0,43.0,0.0,,43.0
107,1758447766.062818,21.97893714904785,5.793571472167969e-05,89,89,,,127.0.0.1,127.0.0.1,6,1883,59666,24,45,255,23452,,,5.793571472167969e-05,True,3.0,PUBLISH,0.0,43.0,0.0,,43.0
109,1758447766.062908,21.979027032852173,5.1975250244140625e-05,87,87,,,127.0.0.1,127.0.0.1,6,1883,59666,24,43,255,61701,,,5.1975250244140625e-05,True,3.0,PUBLISH,0.0,41.0,0.0,,41.0
111,1758447766.062966,21.979085206985474,3.504753112792969e-05,80,80,,,127.0.0.1,127.0.0.1,6,1883,59666,24,36,255,53390,,,3.504753112792969e-05,True,3.0,PUBLISH,0.0,34.0,0.0,,34.0
113,1758447766.063024,21.979143142700195,3.409385681152344e-05,78,78,,,127.0.0.1,127.0.0.1,6,1883,59666,24,34,255,27404,,,3.409385681152344e-05,True,3.0,PUBLISH,0.0,32.0,0.0,,32.0
115,1758447766.063081,21.9792001247406,3.314018249511719e-05,86,86,,,127.0.0.1,127.0.0.1,6,1883,59666,24,42,255,48968,,,3.314018249511719e-05,True,3.0,PUBLISH,0.0,40.0,0.0,,40.0
117,1758447766.063134,21.97925305366516,3.2901763916015625e-05,78,78,,,127.0.0.1,127.0.0.1,6,1883,59666,24,34,255,10964,,,3.2901763916015625e-05,True,3.0,PUBLISH,0.0,32.0,0.0,,32.0
119,1758447766.063187,21.97930598258972,3.2901763916015625e-05,76,76,,,127.0.0.1,127.0.0.1,6,1883,59666,24,32,255,46413,,,3.2901763916015625e-05,True,3.0,PUBLISH,0.0,30.0,0.0,,30.0
121,1758447766.063267,21.9793860912323,5.2928924560546875e-05,83,83,,,127.0.0.1,127.0.0.1,6,1883,59666,24,39,255,4807,,,5.2928924560546875e-05,True,3.0,PUBLISH,0.0,37.0,0.0,,37.0
